
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
2451883       0x2569AB        MIPS instructions, function epilogue
2473743       0x25BF0F        ARMEB instructions, function prologue
2485363       0x25EC73        MIPSEL16e instructions, function epilogue
2487076       0x25F324        MIPSEL16e instructions, function epilogue
2487083       0x25F32B        MIPS instructions, function epilogue
2492530       0x260872        MIPS instructions, function epilogue
2494033       0x260E51        MIPSEL16e instructions, function epilogue
2498259       0x261ED3        MIPS16e instructions, function epilogue
2502503       0x262F67        MIPSEL16e instructions, function epilogue
2506677       0x263FB5        ARM instructions, function epilogue
2513547       0x265A8B        MIPS instructions, function epilogue
2513570       0x265AA2        ARM instructions, function prologue
2517937       0x266BB1        ARMEB instructions, function prologue
2531276       0x269FCC        MIPS16e instructions, function epilogue
2533657       0x26A919        MIPS instructions, function epilogue
2546005       0x26D955        ARMEB instructions, function epilogue
2576416       0x275020        MIPS instructions, function epilogue
2591600       0x278B70        ARM instructions, function prologue
2596697       0x279F59        ARMEB instructions, function prologue
2607945       0x27CB49        MIPS16e instructions, function epilogue
2619656       0x27F908        MIPS instructions, function epilogue
2624293       0x280B25        ARMEB instructions, function epilogue
2634991       0x2834EF        MIPS instructions, function epilogue
2638296       0x2841D8        ARM instructions, function prologue
2639854       0x2847EE        ARM instructions, function epilogue
2653687       0x287DF7        MIPS instructions, function epilogue
2654331       0x28807B        MIPS instructions, function epilogue
2655753       0x288609        MIPSEL16e instructions, function epilogue
2657095       0x288B47        ARM instructions, function prologue
2663988       0x28A634        MIPS16e instructions, function epilogue
2669162       0x28BA6A        ARMEB instructions, function prologue
2673412       0x28CB04        ARM instructions, function prologue
2679034       0x28E0FA        MIPS16e instructions, function epilogue
2685750       0x28FB36        ARMEB instructions, function epilogue
2686498       0x28FE22        ARM instructions, function epilogue
2704380       0x2943FC        MIPSEL16e instructions, function epilogue
2709211       0x2956DB        MIPSEL16e instructions, function epilogue
2718210       0x297A02        ARMEB instructions, function epilogue
2742319       0x29D82F        ARM instructions, function epilogue
2743612       0x29DD3C        ARM instructions, function prologue
2746865       0x29E9F1        MIPS instructions, function epilogue
2761667       0x2A23C3        ARM instructions, function prologue
2773884       0x2A537C        ARMEB instructions, function prologue
2775805       0x2A5AFD        MIPS instructions, function epilogue
2780007       0x2A6B67        ARMEB instructions, function epilogue
2792255       0x2A9B3F        ARMEB instructions, function epilogue
2795533       0x2AA80D        MIPS16e instructions, function epilogue
2798629       0x2AB425        ARM instructions, function prologue
2801565       0x2ABF9D        MIPS instructions, function epilogue
2803801       0x2AC859        ARM instructions, function epilogue
2831884       0x2B360C        ARMEB instructions, function epilogue
2854978       0x2B9042        MIPS instructions, function epilogue
2859826       0x2BA332        MIPS instructions, function epilogue
2868779       0x2BC62B        MIPS instructions, function epilogue
2884590       0x2C03EE        MIPSEL16e instructions, function epilogue
2889327       0x2C166F        ARM instructions, function prologue
2889654       0x2C17B6        MIPS instructions, function epilogue
2890551       0x2C1B37        ARMEB instructions, function epilogue
2893971       0x2C2893        ARM instructions, function epilogue
2894095       0x2C290F        ARMEB instructions, function epilogue
2900714       0x2C42EA        MIPSEL16e instructions, function epilogue
2909599       0x2C659F        ARMEB instructions, function epilogue
2910453       0x2C68F5        MIPS instructions, function epilogue
2914159       0x2C776F        MIPS16e instructions, function epilogue
2916841       0x2C81E9        MIPS instructions, function epilogue
2926301       0x2CA6DD        ARM instructions, function prologue
2935057       0x2CC911        MIPSEL16e instructions, function epilogue
2939434       0x2CDA2A        ARM instructions, function epilogue
2945331       0x2CF133        ARM instructions, function prologue
